RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
1;2058;-1;cam data : 1;2054;71;52
2;2058;0;cam data : 1;2054;71;52
3;2058;2;cam data : 1;2054;71;52
4;2058;3;cam data : 1;2054;71;52
5;2058;4;cam data : 1;2054;71;52
6;2058;5;cam data : 1;2054;71;52
7;2058;6;cam data : 1;2054;71;52
8;2058;7;cam data : 1;2054;71;52
9;2058;8;cam data : 1;2054;71;52
10;2158;-1;cam data : 1;2154;71;52
11;2158;0;cam data : 1;2154;71;52
12;2158;2;cam data : 1;2154;71;52
13;2158;3;cam data : 1;2154;71;52
14;2158;4;cam data : 1;2154;71;52
15;2158;5;cam data : 1;2154;71;52
16;2158;6;cam data : 1;2154;71;52
17;2158;7;cam data : 1;2154;71;52
18;2158;8;cam data : 1;2154;71;52
19;2182;-1;cam data : 5;2178;31;25
20;2182;0;cam data : 5;2178;31;25
21;2182;1;cam data : 5;2178;31;25
22;2182;2;cam data : 5;2178;31;25
23;2182;3;cam data : 5;2178;31;25
24;2182;4;cam data : 5;2178;31;25
25;2182;6;cam data : 5;2178;31;25
26;2182;7;cam data : 5;2178;31;25
27;2182;8;cam data : 5;2178;31;25
28;2234;-1;cam data : 4;2230;59;25
29;2234;0;cam data : 4;2230;59;25
30;2234;1;cam data : 4;2230;59;25
31;2234;2;cam data : 4;2230;59;25
32;2234;3;cam data : 4;2230;59;25
33;2234;5;cam data : 4;2230;59;25
34;2234;6;cam data : 4;2230;59;25
35;2234;7;cam data : 4;2230;59;25
36;2234;8;cam data : 4;2230;59;25
37;2258;-1;cam data : 1;2254;71;52
38;2258;0;cam data : 1;2254;71;52
39;2258;2;cam data : 1;2254;71;52
40;2258;3;cam data : 1;2254;71;52
41;2258;4;cam data : 1;2254;71;52
42;2258;5;cam data : 1;2254;71;52
43;2258;6;cam data : 1;2254;71;52
44;2258;7;cam data : 1;2254;71;52
45;2258;8;cam data : 1;2254;71;52
46;2282;-1;cam data : 5;2278;31;25
47;2282;0;cam data : 5;2278;31;25
48;2282;1;cam data : 5;2278;31;25
49;2282;2;cam data : 5;2278;31;25
50;2282;3;cam data : 5;2278;31;25
51;2282;4;cam data : 5;2278;31;25
52;2282;6;cam data : 5;2278;31;25
53;2282;7;cam data : 5;2278;31;25
54;2282;8;cam data : 5;2278;31;25
55;2313;-1;cam data : 2;2309;5;26
56;2313;0;cam data : 2;2309;5;26
57;2313;1;cam data : 2;2309;5;26
58;2313;3;cam data : 2;2309;5;26
59;2313;4;cam data : 2;2309;5;26
60;2313;5;cam data : 2;2309;5;26
61;2313;6;cam data : 2;2309;5;26
62;2313;7;cam data : 2;2309;5;26
63;2313;8;cam data : 2;2309;5;26
64;2334;-1;cam data : 4;2330;59;25
65;2334;0;cam data : 4;2330;59;25
66;2334;1;cam data : 4;2330;59;25
67;2334;2;cam data : 4;2330;59;25
68;2334;3;cam data : 4;2330;59;25
69;2334;5;cam data : 4;2330;59;25
70;2334;6;cam data : 4;2330;59;25
71;2334;7;cam data : 4;2330;59;25
72;2334;8;cam data : 4;2330;59;25
73;2358;-1;cam data : 1;2354;71;52
74;2358;0;cam data : 1;2354;71;52
75;2358;2;cam data : 1;2354;71;52
76;2358;3;cam data : 1;2354;71;52
77;2358;4;cam data : 1;2354;71;52
78;2358;5;cam data : 1;2354;71;52
79;2358;6;cam data : 1;2354;71;52
80;2358;7;cam data : 1;2354;71;52
81;2358;8;cam data : 1;2354;71;52
82;2382;-1;cam data : 5;2378;31;25
83;2382;0;cam data : 5;2378;31;25
84;2382;1;cam data : 5;2378;31;25
85;2382;2;cam data : 5;2378;31;25
86;2382;3;cam data : 5;2378;31;25
87;2382;4;cam data : 5;2378;31;25
88;2382;6;cam data : 5;2378;31;25
89;2382;7;cam data : 5;2378;31;25
90;2382;8;cam data : 5;2378;31;25
91;2397;-1;cam data : 8;2393;86;96
92;2397;0;cam data : 8;2393;86;96
93;2397;1;cam data : 8;2393;86;96
94;2397;2;cam data : 8;2393;86;96
95;2397;3;cam data : 8;2393;86;96
96;2397;4;cam data : 8;2393;86;96
97;2397;5;cam data : 8;2393;86;96
98;2397;6;cam data : 8;2393;86;96
99;2397;7;cam data : 8;2393;86;96
100;2413;-1;cam data : 2;2409;5;26
101;2413;0;cam data : 2;2409;5;26
102;2413;1;cam data : 2;2409;5;26
103;2413;3;cam data : 2;2409;5;26
104;2413;4;cam data : 2;2409;5;26
105;2413;5;cam data : 2;2409;5;26
106;2413;6;cam data : 2;2409;5;26
107;2413;7;cam data : 2;2409;5;26
108;2413;8;cam data : 2;2409;5;26
109;2434;-1;cam data : 4;2430;59;25
110;2434;0;cam data : 4;2430;59;25
111;2434;1;cam data : 4;2430;59;25
112;2434;2;cam data : 4;2430;59;25
113;2434;3;cam data : 4;2430;59;25
114;2434;5;cam data : 4;2430;59;25
115;2434;6;cam data : 4;2430;59;25
116;2434;7;cam data : 4;2430;59;25
117;2434;8;cam data : 4;2430;59;25
118;2458;-1;cam data : 1;2454;71;52
119;2458;0;cam data : 1;2454;71;52
