TxPackets;TxTime;TxId;xPos;yPos
9;2054;1;71;52
18;2154;1;71;52
27;2178;5;31;25
36;2230;4;59;25
45;2254;1;71;52
54;2278;5;31;25
63;2309;2;5;26
72;2330;4;59;25
81;2354;1;71;52
90;2378;5;31;25
99;2393;8;86;96
108;2409;2;5;26
117;2430;4;59;25
126;2454;1;71;52
135;2478;5;31;25
144;2493;8;86;96
153;2509;2;5;26
162;2530;4;59;25
171;2554;1;71;52
180;2578;5;31;25
189;2593;8;86;96
198;2609;2;5;26
207;2630;4;59;25
216;2654;1;71;52
225;2678;5;31;25
234;2693;8;86;96
243;2709;2;5;26
252;2730;4;59;25
261;2754;1;71;52
270;2763;3;17;55
279;2773;7;42;76
288;2775;2;5;26
297;2778;5;31;25
306;2793;8;86;96
315;2815;0;65;54
324;2830;4;59;25
333;2854;1;71;52
342;2863;3;17;55
351;2873;7;42;76
360;2875;2;5;26
369;2878;5;31;25
378;2893;8;86;96
387;2915;0;65;54
396;2918;-1;66;72
405;2930;4;59;25
414;2954;1;71;52
423;2963;3;17;55
432;2973;7;42;76
441;2975;2;5;26
450;2978;5;31;25
459;2989;6;78;15
468;2993;8;86;96
477;3015;0;65;54
486;3018;-1;66;72
495;3030;4;59;25
504;3040;4;59;25
513;3054;1;71;52
522;3063;3;17;55
531;3073;7;42;76
540;3075;2;5;26
549;3078;5;31;25
558;3089;6;78;15
567;3093;8;86;96
576;3115;0;65;54
585;3118;-1;66;72
594;3133;8;86;96
603;3139;5;31;25
612;3140;4;59;25
621;3154;1;71;52
630;3163;3;17;55
639;3173;7;42;76
648;3175;2;5;26
657;3189;6;78;15
666;3215;0;65;54
675;3218;-1;66;72
684;3233;8;86;96
693;3239;5;31;25
702;3240;4;59;25
711;3254;1;71;52
720;3263;3;17;55
729;3273;7;42;76
738;3275;2;5;26
747;3289;6;78;15
756;3315;0;65;54
765;3318;-1;66;72
774;3333;8;86;96
783;3339;5;31;25
792;3340;4;59;25
801;3354;1;71;52
810;3363;3;17;55
819;3373;7;42;76
828;3375;2;5;26
837;3389;6;78;15
846;3415;0;65;54
855;3418;-1;66;72
864;3433;8;86;96
873;3439;5;31;25
882;3440;4;59;25
891;3454;1;71;52
900;3459;1;71;52
909;3463;3;17;55
918;3473;7;42;76
927;3475;2;5;26
936;3489;6;78;15
945;3515;0;65;54
954;3518;-1;66;72
963;3533;8;86;96
972;3539;5;31;25
981;3540;4;59;25
990;3559;1;71;52
999;3563;3;17;55
1008;3565;-1;66;72
1017;3573;7;42;76
1026;3575;2;5;26
1035;3576;5;31;25
1044;3589;6;78;15
1053;3615;0;65;54
1062;3633;8;86;96
1071;3640;4;59;25
1080;3659;1;71;52
1089;3663;3;17;55
1098;3665;-1;66;72
1107;3673;7;42;76
1116;3675;2;5;26
1125;3676;5;31;25
1134;3689;6;78;15
1143;3715;0;65;54
1152;3733;8;86;96
1161;3740;4;59;25
1170;3759;1;71;52
1179;3763;3;17;55
1188;3765;-1;66;72
1197;3773;7;42;76
1206;3775;2;5;26
1215;3776;5;31;25
1224;3789;6;78;15
1233;3815;0;65;54
1242;3833;8;86;96
1251;3840;4;59;25
1260;3847;4;59;25
1269;3859;1;71;52
1278;3863;3;17;55
1287;3865;-1;66;72
1296;3873;7;42;76
1305;3875;2;5;26
1314;3876;5;31;25
1323;3889;6;78;15
1332;3915;0;65;54
1341;3933;8;86;96
